Size,Selection,Merge,Counting
100,0.008167,0.107708,1.28867
200,0.01975,0.180625,1.44225
300,0.035667,0.31925,1.53554
400,0.091916,0.475417,1.11996
500,0.116541,0.480458,0.987167
600,0.162042,0.601666,1.15129
700,0.21225,0.69475,0.928
800,0.254833,0.658958,0.796416
900,0.284833,0.744958,0.833041
1000,0.34425,0.704042,0.71725
1100,0.411958,0.829375,0.700334
1200,0.421667,0.848833,0.685
1300,0.488167,0.940417,0.858125
1400,0.561291,0.993,0.720708
1500,0.637417,1.06808,0.891417
1600,0.72,1.12592,0.766792
1700,0.809208,1.19542,0.735
1800,0.898166,1.26017,0.788292
1900,0.9965,1.29967,0.764625
2000,1.09767,1.38442,0.729
2100,1.22383,1.48896,0.741958
2200,1.32038,1.54287,0.794833
2300,1.44129,1.64146,0.755458
2400,1.56117,1.67883,0.752459
2500,1.68379,1.74579,0.756875
2600,1.81808,1.83633,1.07612
2700,1.95517,1.90333,0.802042
2800,2.09833,1.95017,0.799625
2900,2.24825,2.01171,0.985083
3000,2.39771,4.28771,1.14525
3100,2.58458,2.21842,1.15896
3200,2.72388,2.22863,0.815375
3300,2.89133,2.30662,0.906417
3400,3.07596,2.34696,0.974167
3500,3.25637,2.42392,0.907708
3600,3.43879,2.5275,1.21358
3700,3.64321,2.55021,1.11637
3800,3.83533,2.62683,1.70887
3900,4.03208,2.76558,1.20421
4000,4.23183,2.69663,0.913917
4100,4.4505,2.80138,1.27792
4200,4.65671,2.98296,1.08183
4300,4.91008,3.06742,1.259
4400,5.22383,3.13858,0.9395
4500,5.34667,3.20613,0.777375
4600,5.58133,3.24946,0.78725
4700,5.80842,3.32792,0.778417
4800,6.0485,3.38733,0.848375
4900,6.3515,3.45138,0.7975
5000,6.55133,3.48667,0.855917
5100,6.82396,3.55912,0.777167
5200,7.08321,3.71712,0.786542
5300,7.36358,3.76979,0.807042
5400,7.66042,3.93742,1.02267
5500,7.94883,3.88225,0.7825
5600,8.2025,3.93337,0.796459
5700,8.485,4.04958,0.79725
5800,8.77667,4.05942,0.7895
5900,9.08567,4.17321,0.790542
6000,9.37146,4.163,0.805959
6100,9.69029,4.31025,0.782834
6200,10.0028,4.46533,0.87225
6300,10.3261,4.47637,0.933584
6400,10.6438,4.44913,0.834375
6500,11.0977,4.5995,1.14908
6600,11.339,4.59442,0.839625
6700,11.6631,4.67154,0.812292
6800,12.0534,4.68758,0.934959
6900,12.3486,4.73942,0.866458
7000,12.7142,4.82529,0.85025
7100,13.0672,4.87254,0.849542
7200,13.4305,4.99313,0.837208
7300,13.8103,5.03087,0.807
7400,14.1795,5.05929,1.17308
7500,14.5436,5.07325,0.950208
7600,14.9388,5.20342,0.80525
7700,15.3244,5.34417,0.810083
7800,15.742,5.29646,0.822958
7900,16.1358,5.31908,1.17508
8000,16.6827,5.42654,0.8245
8100,16.9805,5.46596,0.846083
8200,17.4065,5.52533,1.02867
8300,17.9248,6.08879,1.0335
8400,18.187,6.185,0.900083
8500,18.7196,6.18075,0.919709
8600,19.3945,6.15017,0.976917
8700,19.5307,6.01638,0.866625
8800,19.934,6.17017,0.856375
8900,20.4597,6.258,0.895375
9000,20.929,6.44933,1.04838
9100,21.3564,6.40667,1.04287
9200,21.8663,6.45296,0.980959
9300,22.2668,6.65729,0.893083
9400,22.7982,6.68579,1.44775
9500,25.1727,6.77463,2.01046
9600,23.9092,6.86217,0.99975
9700,25.6994,7.88037,1.37546
9800,27.2028,8.07558,1.60013
9900,26.0888,7.10408,1.09737
10000,25.7689,7.06196,1.12483
